ARPJun 5, 2025 3:54:38 PM
DEV	  Src MAC		Dest MAC		Source IP	Dest IP		Type	Vlan	Proto	D-Port	State  Idle sec  RL-Class  RL-Kbps  DSCP
----------------------------------------------------------------------------------------------------------------------------------------------------------------
aximac1   0c-c4-7a-a8-63-00   	ac-67-84-e5-43-a2	192.168.1.203  	192.168.1.151  	0x0800	0001	UDP	56445	  RUN       0       0	         0    - 
aximac1   0c-c4-7a-a8-63-00   	ec-8e-77-a6-b1-4d	192.168.1.8    	192.168.1.172  	0x0800	0001	TCP	63352	  RUN       0       0	         0    - 
aximac1   0c-c4-7a-a8-63-00   	ec-8e-77-a6-b1-4d	192.168.1.221  	192.168.1.172  	0x0800	0001	TCP	60801	  RUN       0       0	         0    - 
aximac1   0c-c4-7a-a8-63-00   	ec-8e-77-a6-b1-4d	192.168.1.8    	192.168.1.172  	0x0800	0001	TCP	65504	  RUN       3       0	         0    - 
aximac1   0c-c4-7a-a8-63-00   	ec-8e-77-a6-b1-4d	192.168.1.203  	192.168.1.172  	0x0800	0001	UDP	60198	  RUN       4       0	         0    - 
aximac1   0c-c4-7a-a8-63-00   	ec-8e-77-a6-b1-4d	192.168.1.203  	192.168.1.172  	0x0800	0001	UDP	60197	  RUN       4       0	         0    - 
aximac1   0c-c4-7a-a8-63-00   	ec-8e-77-a6-b1-4d	192.168.1.221  	192.168.1.172  	0x0800	0001	TCP	55272	  RUN       8       0	         0    - 
aximac1   0c-c4-7a-a8-63-00   	ec-8e-77-a6-b1-4d	192.168.1.221  	192.168.1.172  	0x0800	0001	TCP	55271	  RUN       8       0	         0    - 
aximac1   0c-c4-7a-a8-63-00   	ec-8e-77-a6-b1-4d	192.168.1.221  	192.168.1.172  	0x0800	0001	TCP	55268	  RUN       8       0	         0    - 
aximac1   0c-c4-7a-a8-63-00   	ec-8e-77-a6-b1-4d	192.168.1.221  	192.168.1.172  	0x0800	0001	TCP	55187	  RUN       9       0	         0    - 
aximac1   0c-c4-7a-a8-63-00   	ec-8e-77-a6-b1-4d	192.168.1.221  	192.168.1.172  	0x0800	0001	TCP	55186	  RUN      10       0	         0    - 
aximac1   0c-c4-7a-a8-63-00   	90-ca-fa-b3-66-64	192.168.1.17   	192.168.1.121  	0x0800	0001	TCP	8008	  RUN      10       0	         0    - 
aximac1   0c-c4-7a-a8-63-00   	ec-8e-77-a6-b1-4d	192.168.1.203  	192.168.1.172  	0x0800	0001	UDP	49817	  RUN      15       0	         0    - 
aximac1   0c-c4-7a-a8-63-00   	ec-8e-77-a6-b1-4d	192.168.1.203  	192.168.1.172  	0x0800	0001	UDP	49818	  RUN      15       0	         0    - 
aximac1   0c-c4-7a-a8-63-00   	ac-67-84-e5-43-a2	192.168.1.17   	192.168.1.151  	0x0800	0001	TCP	8008	  RUN      21       0	         0    - 
aximac1   0c-c4-7a-a8-63-00   	ec-8e-77-a6-b1-4d	192.168.1.221  	192.168.1.172  	0x0800	0001	TCP	60795	  RUN      26       0	         0    - 
aximac1   0c-c4-7a-a8-63-00   	ec-8e-77-a6-b1-4d	192.168.1.203  	192.168.1.172  	0x0800	0001	UDP	59614	  RUN      30       0	         0    - 
aximac1   0c-c4-7a-a8-63-00   	ec-8e-77-a6-b1-4d	192.168.1.221  	192.168.1.172  	0x0800	0001	TCP	55183	  RUN      50       0	         0    - 
aximac1   0c-c4-7a-a8-63-00   	ec-8e-77-a6-b1-4d	192.168.1.221  	192.168.1.172  	0x0800	0001	TCP	55104	  RUN      51       0	         0    - 
aximac1   0c-c4-7a-a8-63-00   	ec-8e-77-a6-b1-4d	192.168.1.221  	192.168.1.172  	0x0800	0001	TCP	55102	  RUN      51       0	         0    - 
aximac1   0c-c4-7a-a8-63-00   	ac-67-84-e5-43-a2	192.168.1.203  	192.168.1.151  	0x0800	0001	UDP	17996	  RUN      61       0	         0    - 
vlan1     a8-3a-79-61-bd-5f   	1a-c1-49-53-e4-19	192.168.1.142  	54.183.169.249 	0x0800	0001	TCP	443	  RUN       1       0	         0    - 
aximac1   1a-c1-49-53-e4-19   	a8-3a-79-61-bd-5f	54.183.169.249 	192.168.1.142  	0x0800	0001	TCP	43828	  RUN       0       0	         0    - 
aximac1   1a-c1-49-53-e4-19   	ac-67-84-e5-43-a2	44.242.131.93  	192.168.1.151  	0x0800	0001	TCP	36180	  RUN       0       0	         0    - 
aximac1   1a-c1-49-53-e4-19   	ec-8e-77-a6-b1-4d	104.129.198.38 	192.168.1.172  	0x0800	0001	TCP	54375	  RUN       0       0	         0    - 
aximac1   1a-c1-49-53-e4-19   	ac-67-84-e5-43-a2	8.8.8.8        	192.168.1.151  	0x0800	0001	UDP	58018	  RUN       0       0	         0    - 
aximac1   1a-c1-49-53-e4-19   	ec-8e-77-a6-b1-4d	165.225.34.128 	192.168.1.172  	0x0800	0001	UDP	65506	  RUN       0       0	         0    - 
aximac1   1a-c1-49-53-e4-19   	ec-8e-77-a6-b1-4d	192.168.1.1    	192.168.1.172  	0x0800	0001	ICMP	0	  RUN       0       0	         0    - 
aximac1   1a-c1-49-53-e4-19   	ec-8e-77-a6-b1-4d	104.129.198.73 	192.168.1.172  	0x0800	0001	UDP	60644	  RUN       0       0	         0    - 
aximac1   1a-c1-49-53-e4-19   	04-27-28-86-e9-10	40.81.122.228  	192.168.1.138  	0x0800	0001	UDP	56503	  RUN       0       0	         0    - 
aximac1   1a-c1-49-53-e4-19   	ec-8e-77-a6-b1-4d	104.129.198.38 	192.168.1.172  	0x0800	0001	TCP	62907	  RUN       1       0	         0    - 
aximac1   1a-c1-49-53-e4-19   	ec-8e-77-a6-b1-4d	165.225.34.41  	192.168.1.172  	0x0800	0001	TCP	55283	  RUN       1       0	         0    - 
aximac1   1a-c1-49-53-e4-19   	ec-8e-77-a6-b1-4d	104.129.198.38 	192.168.1.172  	0x0800	0001	TCP	55282	  RUN       1       0	         0    - 
